caseid	cue	tax_soda	gop	ind	gop_cue	educate	ideology	income
147397998	0	1	1	0	0	4	5	2
147398036	1	4	0	0	0	4	2	5
147398207	1	1	1	0	1	2	4	10
147399377	1	4	1	0	1	5	4	7
147399402	0	4	1	0	0	5	5	15
147400111	1	3	1	0	1	5	3	4
147400136	0	4	0	0	0	3	3	5
147400490	0	4	0	0	0	1	1	3
147400625	0	4	0	0	0	3	1	5
147402800	1	4	0	0	0	5	1	15
147402809	1	4	0	0	0	5	3	12
147403012	0	4	1	0	0	3	4	2
147403056	0	1	1	0	0	3	4	10
147403265	0	4	1	0	0	6	4	12
147403371	0	3	0	0	0	3	1	8
147404728	1	3	1	0	1	6	4	13
147404755	1	1	1	0	1	4	4	12
147404777	1	4	0	0	0	3	2	5
147404788	1	4	0	0	0	6	2	12
147404839	0	4	0	0	0	3	3	9
147405393	1	1	1	0	1	5	4	5
147405404	1	1	1	0	1	5	5	10
147405800	0	1	0	0	0	5	3	4
147407690	1	2	0	0	0	3	2	11
147408219	1	4	0	0	0	3	2	6
147408234	1	1	0	0	0	3	1	3
147408280	0	4	0	0	0	6	2	6
147409812	1	1	0	0	0	2	2	5
147409932	1	4	0	0	0	6	1	12
147410118	1	4	0	0	0	6	2	9
147411073	1	3	0	0	0	5	2	9
147412510	1	4	0	0	0	5	1	1
147412828	1	3	1	0	1	5	3	3
147414345	1	1	0	0	0	5	3	14
147415136	1	2	1	0	1	2	4	8
147416926	1	4	0	0	0	2	1	5
147417397	0	4	0	0	0	6	2	10
147417507	1	3	0	0	0	6	2	4
147417518	0	2	0	1	0	5	4	4
147418431	0	4	0	0	0	6	1	12
147418897	1	1	0	0	0	4	4	7
147418908	1	3	0	0	0	4	2	3
147419276	1	2	0	0	0	1	3	2
147419424	1	4	0	0	0	5	2	10
147419530	0	2	1	0	0	6	4	11
147421051	1	1	0	1	0	2	5	4
147421386	0	2	0	0	0	6	1	7
147422201	1	3	0	1	0	5	3	6
147422894	1	1	1	0	1	5	4	6
147424553	1	1	1	0	1	3	5	5
147424568	0	1	0	0	0	3	3	1
147424791	1	3	0	0	0	4	2	7
147424913	0	2	0	1	0	2	5	5
147425925	1	1	1	0	1	2	4	5
147425983	1	2	1	0	1	4	4	6
147426317	1	2	0	0	0	3	2	6
147426326	1	1	0	0	0	5	3	9
147426658	1	4	0	0	0	2	2	10
147426667	1	3	0	0	0	5	3	9
147426792	1	1	0	0	0	5	3	12
147427553	1	4	0	0	0	3	2	10
147427603	1	2	0	0	0	2	2	2
147428037	1	1	1	0	1	2	4	8
147428046	0	2	0	0	0	6	2	12
147429384	0	4	0	0	0	6	3	14
147429423	0	1	0	0	0	6	1	9
147429854	1	3	0	0	0	5	1	8
147431094	1	4	0	0	0	3	2	6
147432056	1	1	0	0	0	3	3	1
147432858	1	3	0	0	0	3	3	7
147432988	1	3	0	0	0	6	3	12
147433032	1	3	1	0	1	5	4	11
147434648	1	1	0	0	0	4	2	9
147435142	1	4	0	0	0	3	3	4
147435143	1	1	0	0	0	2	2	4
147435147	0	4	0	1	0	5	1	4
147435466	0	2	0	0	0	2	3	6
147435470	1	1	1	0	1	2	3	4
147435551	0	1	0	0	0	5	3	3
147435599	0	3	0	1	0	5	3	9
147436366	0	1	1	0	0	4	4	5
147437833	1	3	0	0	0	5	2	7
147437841	1	4	0	0	0	5	2	9
147438755	1	3	0	0	0	5	3	14
147439397	0	1	1	0	0	5	4	10
147439422	1	1	1	0	1	2	3	9
147439958	0	1	0	0	0	1	4	5
147440239	0	1	0	0	0	2	2	4
147440246	1	1	1	0	1	2	5	9
147441091	0	4	0	0	0	5	3	11
147441219	0	2	0	0	0	4	3	4
147441639	1	3	0	0	0	5	2	4
147442016	1	2	1	0	1	6	5	12
147442043	0	1	1	0	0	5	3	11
147443229	1	1	0	0	0	2	3	8
147444887	1	3	1	0	1	6	2	10
147444911	1	1	1	0	1	4	4	10
147444916	0	3	0	0	0	6	1	9
147444959	1	2	1	0	1	2	4	9
147445229	0	1	1	0	0	3	4	2
147445396	0	4	0	0	0	5	3	14
147447043	0	2	0	0	0	5	2	6
147447171	1	2	1	0	1	5	4	9
147448280	1	1	0	0	0	3	4	4
147448293	1	3	0	0	0	3	3	6
147448675	1	1	1	0	1	1	5	4
147449544	1	3	0	0	0	5	3	5
147449551	0	1	1	0	0	3	4	3
147450009	1	1	0	1	0	5	4	7
147450044	1	1	1	0	1	2	4	12
147450388	1	4	0	0	0	5	1	3
147451764	0	4	0	0	0	6	1	9
147451769	1	4	0	0	0	5	5	3
147451773	1	4	0	0	0	5	1	8
147451775	0	1	1	0	0	2	5	11
147453588	1	4	0	1	0	6	3	2
147453598	0	3	0	0	0	5	3	8
147455321	1	4	0	0	0	6	3	9
147455328	0	1	1	0	0	3	4	10
147455330	1	1	1	0	1	4	3	6
147455429	0	1	1	0	0	3	4	6
147455450	0	4	0	0	0	4	1	3
147457668	1	3	1	0	1	5	4	10
147458344	1	4	0	0	0	5	2	9
147458861	1	3	1	0	1	5	4	3
147460039	0	2	1	0	0	3	4	9
147461075	0	4	0	0	0	6	3	12
147461869	1	4	0	0	0	6	2	10
147461961	1	3	0	0	0	3	1	5
147462317	1	1	0	0	0	6	4	10
147462320	1	1	1	0	1	3	3	7
147462391	0	4	0	0	0	5	1	11
147462696	1	1	0	0	0	2	2	4
147462701	1	4	1	0	1	2	2	2
147464156	1	3	0	0	0	3	3	6
147464190	1	1	1	0	1	2	4	9
147464534	0	1	1	0	0	5	5	12
147465398	1	1	1	0	1	3	4	8
147465879	1	2	0	1	0	6	2	8
147466240	1	1	1	0	1	6	4	9
147466934	1	1	1	0	1	3	3	3
147467096	1	1	0	0	0	2	1	4
147467459	1	4	0	0	0	5	2	11
147468623	1	4	0	1	0	5	3	5
147469136	0	4	0	0	0	2	3	11
147469152	0	1	1	0	0	3	4	5
147470808	1	3	0	0	0	2	1	3
147472032	1	2	0	0	0	6	2	4
147472398	0	4	0	0	0	3	2	9
147472399	1	1	0	0	0	3	2	10
147473353	1	4	0	0	0	5	3	10
147473364	1	3	0	1	0	5	3	8
147474309	1	1	1	0	1	3	4	10
147475634	1	3	0	0	0	2	3	3
147478531	1	1	0	1	0	3	3	2
147479946	0	4	0	0	0	4	2	2
147479952	0	3	1	0	0	3	4	8
147481377	1	3	0	0	0	5	2	11
147482301	1	3	0	0	0	3	3	7
147483583	0	4	0	0	0	6	2	6
147485289	1	1	0	0	0	3	3	4
147485292	1	2	0	0	0	4	2	5
147485637	1	2	0	0	0	2	3	4
147486210	1	1	1	0	1	2	3	7
147486529	1	1	0	1	0	2	3	3
147488649	1	1	1	0	1	3	5	10
147490315	1	1	0	0	0	2	3	4
147490665	0	1	1	0	0	3	4	6
147491172	1	1	0	0	0	4	3	9
147491180	0	2	0	0	0	2	3	8
147491604	1	3	1	0	1	4	4	9
147491617	0	1	1	0	0	3	5	5
147491654	1	4	0	0	0	6	2	7
147492639	1	2	0	0	0	1	1	1
147494969	1	4	1	0	1	4	3	3
147495954	1	4	0	0	0	5	2	8
147496322	1	1	0	1	0	3	3	2
147497329	1	3	0	0	0	3	3	3
147497365	0	4	0	0	0	4	1	8
147497512	1	1	1	0	1	2	4	5
147498605	1	3	0	0	0	3	2	9
147500523	1	1	0	0	0	6	3	14
147500833	0	3	0	0	0	5	3	2
147501337	1	4	0	0	0	2	2	9
147502880	1	1	1	0	1	3	4	4
147503255	1	4	0	0	0	5	1	4
147503291	1	1	1	0	1	3	3	4
147503611	1	2	0	0	0	4	2	1
147504195	1	1	1	0	1	2	5	5
147504368	1	4	0	0	0	6	1	6
147505344	1	1	0	0	0	3	3	12
147505675	1	4	0	0	0	5	2	8
147506710	1	1	1	0	1	3	3	3
147507530	1	2	0	0	0	2	3	8
147508114	0	4	0	0	0	4	3	4
147508115	1	1	0	1	0	3	3	14
147508407	1	1	1	0	1	3	4	9
147508602	1	1	1	0	1	5	4	7
147508996	1	4	0	0	0	5	3	5
147510242	0	1	1	0	0	3	4	1
147511109	0	1	0	1	0	3	3	9
147511587	1	4	0	0	0	6	3	10
147513094	1	4	0	0	0	3	2	5
147513795	1	3	0	0	0	6	1	10
147513807	1	3	0	0	0	2	3	9
147513837	1	1	0	0	0	4	2	2
147514328	0	1	0	1	0	3	4	6
147514468	0	3	0	0	0	5	3	5
147514476	1	1	0	1	0	2	3	6
147514915	0	1	0	0	0	3	2	3
147515200	1	1	0	0	0	3	3	4
147515217	0	2	0	0	0	4	3	4
147517980	1	2	0	0	0	2	3	10
147517982	1	1	0	0	0	2	3	3
147518664	0	4	1	0	0	4	3	6
147519360	1	3	1	0	1	2	3	6
147519366	1	4	0	1	0	4	3	10
147519367	1	1	1	0	1	2	5	4
147519443	1	3	0	0	0	4	2	6
147521075	1	1	1	0	1	3	5	5
147521147	1	1	0	0	0	5	4	10
147521837	1	2	0	1	0	3	3	4
147522095	1	1	0	0	0	2	3	10
147522115	1	1	1	0	1	2	4	7
147522116	0	1	0	1	0	3	3	1
147522117	0	1	1	0	0	3	4	5
147522119	0	4	0	0	0	3	2	12
