caseid	cue	tax_soda	gop	ind	gop_cue	educate	ideology	income
148623414	1	1	0	0	0	3	2	6
148623460	1	1	1	0	1	5	4	11
148625379	0	1	0	0	0	5	3	11
148626728	1	1	1	0	1	3	4	8
148627974	1	1	0	1	0	4	4	7
148633030	1	3	0	0	0	5	3	3
148633490	1	3	1	0	1	5	4	6
148634170	0	3	0	1	0	5	4	3
148636674	1	1	1	0	1	2	5	5
148639144	1	1	1	0	1	2	3	11
148641117	1	4	0	0	0	3	2	2
148642441	1	1	1	0	1	5	4	8
148644776	1	2	0	1	0	5	3	5
148647485	1	1	0	0	0	3	3	6
148649268	1	4	0	0	0	5	1	5
148650614	1	3	1	0	1	5	3	3
148654219	1	1	1	0	1	3	3	10
148656426	1	1	1	0	1	2	4	7
148658718	0	1	0	0	0	5	3	11
148662146	0	3	0	0	0	5	1	6
148663665	1	1	1	0	1	4	4	10
148664206	1	1	0	0	0	3	3	6
148670579	1	4	0	0	0	5	3	4
148672067	1	3	1	0	1	1	4	3
148672116	0	1	1	0	0	4	5	4
148675980	0	4	0	0	0	6	1	10
148679934	0	1	1	0	0	3	5	5
148684385	1	4	0	0	0	3	3	5
148690115	1	1	1	0	1	5	3	12
148693009	1	3	0	0	0	5	1	5
148693834	1	1	0	0	0	5	3	10
148695697	0	4	0	1	0	4	2	10
148698669	1	1	1	0	1	5	4	7
148702848	1	2	1	0	1	3	3	6
148704704	0	3	0	0	0	2	2	10
148705935	1	1	1	0	1	6	4	6
148714922	1	1	0	1	0	2	3	3
148726721	1	4	0	0	0	5	3	4
148727450	1	3	0	0	0	1	2	7
148740607	1	3	0	0	0	5	3	10
148747122	0	1	0	0	0	5	3	1
148749933	1	1	1	0	1	2	4	11
148757242	1	1	0	0	0	5	3	2
148761897	1	1	1	0	1	4	4	12
148762671	0	1	1	0	0	2	4	4
148775157	1	1	0	0	0	2	2	9
148777600	1	1	1	0	1	5	3	7
148778047	1	2	1	0	1	2	2	4
148789588	1	4	0	0	0	2	3	2
148797935	0	4	0	0	0	2	3	7
148798047	1	1	1	0	1	2	4	3
148814997	0	1	0	1	0	2	3	5
148815262	1	1	0	0	0	4	3	10
148839238	1	1	0	1	0	4	3	1
148860404	1	3	0	1	0	2	4	8
148886137	0	4	0	0	0	2	2	5
148990698	0	2	0	0	0	4	3	3
149009301	0	1	0	1	0	6	4	9
149031184	1	2	0	1	0	5	3	9
149064032	0	3	0	0	0	3	1	5
149100446	0	4	0	1	0	5	3	9
149101817	0	1	1	0	0	5	4	7
149107525	1	1	0	0	0	3	3	4
149107568	1	1	1	0	1	3	5	12
149111172	1	4	0	0	0	5	2	12
149134432	0	3	0	0	0	6	1	9
149144208	0	3	0	0	0	6	1	7
149152060	1	4	0	0	0	3	3	11
149154661	0	3	0	1	0	6	2	1
149186679	0	2	0	0	0	6	2	2
149186686	0	2	1	0	0	3	4	7
149194816	0	3	1	0	0	3	3	8
149196565	0	4	0	0	0	5	1	7
149198930	1	1	1	0	1	5	4	10
149198934	1	3	0	0	0	4	2	4
149203928	0	1	1	0	0	5	5	4
149212588	1	1	1	0	1	2	3	5
149222367	1	2	1	0	1	5	4	6
149231192	1	3	0	0	0	3	3	5
149241818	0	4	0	0	0	5	1	4
149241914	0	3	0	0	0	5	1	14
149243284	0	2	0	0	0	5	2	11
149248585	1	4	0	0	0	3	3	9
149257891	0	1	1	0	0	6	3	9
149261757	1	1	1	0	1	5	4	7
149267075	0	1	1	0	0	6	4	14
149270963	1	4	1	0	1	6	3	9
149275812	1	1	0	0	0	3	3	2
149279982	0	1	1	0	0	2	5	2
149279985	0	2	0	1	0	4	3	7
149282772	1	3	0	0	0	3	1	4
149282780	0	1	1	0	0	3	5	4
149289526	0	4	0	0	0	4	1	10
149290284	1	1	0	0	0	3	3	10
149296018	0	4	0	0	0	4	2	12
149296951	1	1	1	0	1	3	3	2
149302092	0	3	0	0	0	3	2	2
149310453	0	4	0	0	0	6	2	8
149318633	0	2	1	0	0	4	3	8
149318634	1	1	1	0	1	3	4	3
149323989	1	1	0	0	0	6	3	2
149329899	1	3	1	0	1	3	4	4
